TransactionID,CustomerID,Age,Gender,Occupation,Income,AccountBalance,TransactionAmount,TransactionType,Timestamp,Location,DeviceUsed,CreditScore,PreviousFraudHistory,DailyTransactionCount,Fraud
TXN025937,CUST00642,54,Female,Salaried,49688.43,25201.44,11.23,Payment,2025-01-25 17:15:11,Philadelphia,Mobile App,796.0,0,1,No
TXN019358,CUST00834,48,Female,Student,3008.88,2334.3,35.59,Transfer,2025-10-13 12:32:16,Austin,Web Browser,650.0,0,1,No
TXN016837,CUST01525,36,Male,Student,2155.36,53.73,195.85,Withdrawal,2025-10-23 18:00:12,Boston,Web Browser,716.0,0,3,No
TXN020785,CUST01723,36,Female,Unemployed,5637.79,394.76,94.0,Deposit,2025-08-07 15:51:30,San Antonio,Known Device,442.0,0,2,No
TXN012419,CUST01299,57,Male,Self-Employed,75351.2,19347.59,18.88,Transfer,2025-02-17 10:55:50,Philadelphia,Known Device,516.0,0,1,No
TXN024293,CUST00781,70,Male,Student,10878.41,8616.32,717.24,Withdrawal,2025-04-17 16:12:26,Atlanta,Web Browser,791.0,0,1,No
TXN027658,CUST01672,33,Female,Salaried,36693.65,9324.96,570.62,Withdrawal,2025-03-12 20:11:53,Houston,Mobile App,588.0,0,3,No
TXN015034,CUST01341,51,Male,Salaried,33560.71,9470.29,44.28,Payment,2025-07-08 13:14:15,Philadelphia,Known Device,850.0,0,2,No
TXN006458,CUST00242,45,Female,Business Owner,66374.31,16925.21,289.7,Withdrawal,2025-06-23 08:21:59,San Antonio,Mobile App,773.0,0,3,No
TXN022945,CUST00458,61,Male,Business Owner,84807.93,22626.32,27.43,Withdrawal,2025-07-17 15:37:02,San Diego,Known Device,614.0,0,3,No
TXN010198,CUST00680,26,Male,Salaried,70411.56,40622.3,119.64,Transfer,2025-01-15 09:15:24,San Diego,Known Device,602.0,0,3,No
TXN010566,CUST01858,55,Male,Self-Employed,75652.31,89536.83,55.53,Payment,2025-10-17 09:04:16,Atlanta,Mobile App,760.0,0,1,No
TXN020999,CUST01823,47,Female,Self-Employed,39088.48,26973.25,169.99,Withdrawal,2025-11-27 16:38:58,New York,Known Device,534.0,0,3,No
TXN002233,CUST01396,30,Male,Retired,36476.4,22243.92,105.77,Deposit,2025-07-10 14:10:03,Phoenix,Web Browser,638.0,0,3,No
TXN001180,CUST00002,43,Female,Business Owner,117283.91,42038.24,245.08,Deposit,2025-05-28 19:01:53,Los Angeles,Known Device,686.0,0,2,No
TXN009684,CUST00167,61,Male,Retired,16108.16,4464.44,5.0,Deposit,2025-07-27 06:22:15,Philadelphia,Known Device,549.0,0,1,No
TXN027424,CUST01600,24,Female,Retired,20578.7,22784.27,111.0,Payment,2025-09-21 06:25:28,Austin,Known Device,629.0,0,2,No
TXN004169,CUST01602,38,Male,Salaried,85220.22,16818.62,21045.04,Payment,2025-09-06 00:46:03,Offshore-X,New Device,766.0,0,6,Yes
TXN016559,CUST00699,37,Male,Self-Employed,69583.4,48506.32,471.7,Withdrawal,2025-03-08 07:28:12,Dallas,Known Device,662.0,0,1,No
TXN012428,CUST00539,36,Male,Student,12912.47,9196.39,29.53,Deposit,2025-02-20 17:20:20,Seattle,Known Device,556.0,0,3,No
TXN011659,CUST01377,55,Male,Salaried,27218.86,9128.32,45.81,Transfer,2025-09-18 11:02:02,Seattle,Known Device,613.0,0,1,No
TXN020737,CUST01572,38,Female,Salaried,56760.77,24297.17,56.81,Withdrawal,2025-11-18 18:02:31,Seattle,Web Browser,632.0,0,2,No
TXN010994,CUST00198,28,Female,Salaried,82045.43,21959.56,111.19,Deposit,2025-11-16 14:09:21,Philadelphia,Known Device,763.0,0,3,No
TXN009791,CUST01785,41,Male,Salaried,93193.08,38296.97,293.58,Transfer,2025-10-17 11:33:32,Denver,Web Browser,695.0,0,3,No
TXN001757,CUST01349,40,Female,Unemployed,5812.5,2357.02,54.39,Deposit,2025-12-23 10:14:29,Houston,Known Device,755.0,0,2,No
TXN010243,CUST01328,65,Male,Salaried,56792.2,26818.8,247.16,Withdrawal,2025-12-04 15:37:31,Miami,Known Device,633.0,0,2,No
TXN021650,CUST01183,66,Female,Salaried,81378.4,35051.85,89.85,Transfer,2025-08-13 06:51:01,Seattle,Known Device,818.0,0,1,No
TXN017127,CUST01414,63,Female,Salaried,37389.02,28908.83,120.04,Deposit,2025-10-14 15:05:42,Los Angeles,Web Browser,722.0,0,1,No
TXN019670,CUST00853,20,Female,Retired,42731.53,20463.79,253.7,Withdrawal,2025-09-16 10:33:00,Los Angeles,Web Browser,528.0,0,2,No
TXN015865,CUST01957,53,Female,Salaried,90438.45,41683.97,56.19,Withdrawal,2025-07-02 16:58:40,Chicago,Known Device,718.0,0,2,No
TXN026704,CUST01898,47,Male,Retired,18563.08,708.87,340.37,Deposit,2025-12-26 13:55:53,Phoenix,Known Device,764.0,1,1,No
TXN020530,CUST00417,26,Female,Self-Employed,76798.18,6921.63,8.0,Deposit,2025-11-15 18:14:21,Boston,Web Browser,711.0,0,2,No
TXN011421,CUST00647,18,Female,Salaried,57333.77,25212.86,153.6,Deposit,2025-12-03 13:39:59,Denver,Known Device,665.0,0,2,No
TXN017986,CUST01772,51,Female,Salaried,42513.06,12105.13,112.13,Transfer,2025-01-01 14:39:58,Austin,Web Browser,588.0,0,1,No
TXN024161,CUST00461,26,Female,Business Owner,56727.33,25671.75,32.35,Withdrawal,2025-02-17 17:10:40,Chicago,Mobile App,670.0,0,3,No
TXN000344,CUST00824,29,Female,Business Owner,111893.3,55683.1,388.17,Transfer,2025-09-29 22:48:43,Atlanta,Mobile App,845.0,0,2,No
TXN016178,CUST01776,56,Male,Retired,46507.21,269.07,50.15,Transfer,2025-01-13 15:50:31,Los Angeles,Known Device,751.0,0,3,No
TXN014298,CUST00569,38,Female,Retired,38994.77,16852.71,109.53,Withdrawal,2025-03-18 22:57:15,Denver,Known Device,684.0,0,3,No
TXN011433,CUST00137,38,Male,Salaried,46731.19,32613.1,48.16,Transfer,2025-03-13 18:13:07,Atlanta,Mobile App,629.0,0,3,No
TXN023144,CUST01745,38,Male,Student,10316.45,2548.77,168.04,Deposit,2025-11-11 15:16:41,San Diego,Web Browser,763.0,0,3,No
TXN004975,CUST00398,35,Female,Student,9927.02,1126.76,74.84,Payment,2025-09-17 18:03:31,Phoenix,Known Device,844.0,0,3,No
TXN002174,CUST01452,19,Female,Salaried,25543.13,24733.87,51.1,Deposit,2025-04-19 16:33:22,Los Angeles,Mobile App,733.0,0,3,No
TXN021451,CUST00703,51,Male,Business Owner,121396.64,15484.68,292.72,Withdrawal,2025-07-24 15:42:30,San Antonio,Mobile App,758.0,0,3,No
TXN017450,CUST01217,37,Male,Salaried,26392.08,2596.08,106.08,Transfer,2025-10-26 15:38:19,Atlanta,Known Device,656.0,0,1,No
TXN022387,CUST00659,65,Male,Self-Employed,62017.19,17683.94,187.64,Withdrawal,2025-03-17 11:58:26,Los Angeles,Known Device,632.0,0,2,No
TXN029672,CUST01900,28,Male,Salaried,63262.35,11214.47,5.0,Deposit,2025-02-06 14:15:54,Boston,Mobile App,760.0,0,3,No
TXN016826,CUST00361,49,Male,Student,1859.92,512.95,29.48,Transfer,2025-01-10 20:46:58,Houston,Web Browser,633.0,0,2,No
TXN017381,CUST01418,18,Male,Business Owner,115310.58,69546.53,18.1,Transfer,2025-02-13 11:27:02,Chicago,Known Device,625.0,0,1,No
TXN012816,CUST01777,28,Female,Student,5460.95,2390.64,199.96,Transfer,2025-03-22 14:06:04,Atlanta,Mobile App,636.0,0,1,No
TXN011596,CUST01332,49,Male,Retired,24865.78,13095.43,283.85,Withdrawal,2025-07-14 13:49:14,Dallas,Known Device,678.0,0,2,No
TXN023161,CUST00940,18,Female,Retired,27775.94,12384.7,23.29,Deposit,2025-07-15 09:35:37,Houston,Known Device,700.0,0,1,No
TXN010017,CUST00560,23,Male,Salaried,59348.52,12803.35,152.86,Withdrawal,2025-05-08 18:06:11,Atlanta,Known Device,594.0,0,2,No
TXN003364,CUST00138,41,Female,Unemployed,2750.24,303.04,113.16,Transfer,2025-03-23 09:02:31,Boston,Known Device,650.0,0,3,No
TXN020904,CUST01603,24,Female,Salaried,45507.78,39596.91,168.11,Payment,2025-06-13 14:48:29,San Diego,Known Device,796.0,0,2,No
TXN028837,CUST01565,35,Female,Salaried,49740.4,17302.12,51.75,Deposit,2025-03-28 22:57:07,Philadelphia,Mobile App,717.0,0,2,No
TXN013954,CUST00209,43,Female,Salaried,60308.01,38760.51,142.37,Payment,2025-05-16 08:53:55,Miami,Mobile App,636.0,0,3,No
TXN008723,CUST00159,56,Female,Salaried,44098.33,17989.53,633.47,Deposit,2025-01-19 12:29:30,New York,Mobile App,609.0,0,3,No
TXN019315,CUST00815,27,Male,Business Owner,89706.59,16788.21,92.17,Withdrawal,2025-06-17 22:57:44,New York,Known Device,743.0,0,2,No
TXN025638,CUST01521,37,Female,Student,7471.87,4413.7,85.54,Deposit,2025-12-15 17:12:31,Boston,Web Browser,586.0,0,2,No
TXN009282,CUST01420,45,Male,Self-Employed,78434.63,34587.36,318.74,Transfer,2025-04-01 21:16:58,Houston,Known Device,478.0,0,1,No
TXN000943,CUST00790,54,Female,Retired,34389.97,22565.47,372.76,Payment,2025-11-26 11:20:05,New York,Known Device,660.0,0,3,No
TXN024003,CUST00357,28,Female,Salaried,70805.06,18883.01,535.63,Transfer,2025-03-31 12:48:07,Houston,Known Device,793.0,0,2,No
TXN029321,CUST00912,23,Female,Self-Employed,73039.57,22675.97,66.48,Deposit,2025-02-11 10:48:12,Phoenix,Known Device,716.0,0,2,No
TXN004826,CUST00280,18,Female,Self-Employed,69509.45,9174.97,272.76,Payment,2025-06-02 15:33:26,Houston,Known Device,595.0,0,2,No
TXN002972,CUST01897,54,Female,Retired,25833.75,14158.63,349.56,Withdrawal,2025-01-29 08:09:46,Houston,Known Device,643.0,0,2,No
TXN005430,CUST00258,60,Male,Self-Employed,63776.73,12367.11,41.98,Withdrawal,2025-06-17 06:08:55,Phoenix,Known Device,673.0,0,3,No
TXN005823,CUST01349,40,Female,Unemployed,5812.5,2132.02,87.19,Deposit,2025-11-24 13:45:21,Houston,Web Browser,755.0,0,2,No
TXN018020,CUST01048,30,Female,Salaried,52963.59,20364.14,58.28,Deposit,2025-04-11 17:47:20,San Antonio,Web Browser,709.0,0,1,No
TXN014939,CUST01661,32,Female,Business Owner,102939.48,44263.24,5.0,Withdrawal,2025-08-15 14:42:10,Austin,Web Browser,663.0,0,2,No
TXN011832,CUST01124,26,Male,Salaried,56304.88,24638.1,130.79,Payment,2025-01-21 09:37:15,Denver,Web Browser,601.0,1,3,No
TXN016527,CUST00856,40,Female,Retired,22840.97,6639.45,120.96,Transfer,2025-06-26 16:21:42,Denver,Known Device,601.0,0,2,No
TXN023526,CUST01565,35,Female,Salaried,49740.4,16966.13,101.33,Transfer,2025-02-13 11:30:48,Philadelphia,Known Device,717.0,0,3,No
TXN006567,CUST01283,48,Female,Self-Employed,57274.61,8645.64,146.84,Deposit,2025-10-14 10:37:06,Philadelphia,Web Browser,738.0,0,2,No
TXN022397,CUST01938,34,Male,Self-Employed,73557.84,6271.74,65.37,Deposit,2025-07-03 08:55:42,Seattle,Known Device,489.0,0,2,No
TXN012905,CUST00836,19,Female,Retired,21736.09,12667.63,216.14,Transfer,2025-10-22 14:53:35,Seattle,Known Device,628.0,0,1,No
TXN029797,CUST01850,27,Male,Business Owner,82931.92,254.2,172.96,Deposit,2025-03-04 15:22:13,Philadelphia,Web Browser,688.0,0,3,No
TXN029758,CUST01907,37,Female,Student,10669.5,1078.25,400.7,Withdrawal,2025-02-01 10:36:35,Boston,Known Device,672.0,0,2,No
TXN021977,CUST00952,18,Male,Student,6980.4,3373.81,5.5,Payment,2025-08-06 14:17:45,Houston,Mobile App,611.0,0,1,No
TXN026739,CUST00124,18,Female,Student,7157.92,3061.76,140.67,Withdrawal,2025-01-10 16:59:43,San Antonio,Known Device,838.0,0,2,No
TXN003159,CUST01066,40,Female,Self-Employed,62842.03,33210.31,127.51,Withdrawal,2025-01-12 14:59:44,Atlanta,Web Browser,729.0,0,3,No
TXN002034,CUST01118,47,Female,Student,5873.3,3937.76,23.95,Deposit,2025-06-13 14:59:47,Dallas,Web Browser,570.0,0,1,No
TXN029676,CUST00058,46,Male,Salaried,30881.02,10602.38,28.03,Transfer,2025-01-13 19:56:41,Philadelphia,Known Device,622.0,0,1,No
TXN014517,CUST00590,26,Male,Salaried,85149.81,51344.37,109.81,Transfer,2025-10-08 10:58:09,Dallas,Known Device,777.0,0,1,No
TXN007106,CUST00664,40,Male,Unemployed,4051.91,513.81,49.38,Transfer,2025-04-12 14:43:39,Denver,Mobile App,699.0,0,1,No
TXN008030,CUST01575,26,Female,Self-Employed,73487.44,44950.05,37.5,Withdrawal,2025-09-17 14:30:07,Boston,Web Browser,727.0,0,1,No
TXN022046,CUST00551,56,Male,Student,11327.24,1701.67,36.79,Payment,2025-08-20 09:34:06,Houston,Known Device,822.0,0,2,No
TXN020902,CUST00743,43,Female,Self-Employed,36822.62,24070.28,236.43,Transfer,2025-02-05 10:20:29,Seattle,Known Device,829.0,0,2,No
TXN012758,CUST01431,34,Female,Salaried,40147.34,9203.84,189.99,Withdrawal,2025-04-24 17:15:02,New York,Known Device,558.0,1,1,No
TXN027036,CUST01497,37,Female,Business Owner,67808.15,22517.33,357.85,Transfer,2025-10-13 08:42:35,Chicago,Known Device,649.0,0,3,No
TXN004803,CUST01957,53,Female,Salaried,90438.45,42373.09,52.8,Withdrawal,2025-11-20 12:24:38,Chicago,Mobile App,718.0,0,2,No
TXN006829,CUST01626,42,Female,Self-Employed,58793.82,10994.71,27.94,Payment,2025-10-20 19:05:03,Miami,Known Device,605.0,1,3,No
TXN007072,CUST01695,32,Female,Business Owner,60275.64,27317.19,379.05,Withdrawal,2025-12-23 19:51:00,Chicago,Known Device,839.0,0,2,No
TXN000459,CUST00588,40,Male,Salaried,72289.54,17551.11,141.2,Withdrawal,2025-01-27 12:46:14,Phoenix,Known Device,667.0,0,3,No
TXN014670,CUST01175,38,Female,Salaried,52175.28,34168.75,42.1,Withdrawal,2025-05-22 18:15:18,Denver,Known Device,594.0,0,3,No
TXN014015,CUST00698,39,Female,Business Owner,100011.79,57573.46,142.77,Payment,2025-08-28 07:43:12,Boston,Mobile App,635.0,0,2,No
TXN021957,CUST01601,34,Female,Unemployed,4703.24,3367.74,48.5,Deposit,2025-09-19 07:41:22,San Antonio,Mobile App,731.0,0,1,No
TXN008414,CUST00705,51,Female,Business Owner,103879.69,41599.09,120.65,Deposit,2025-04-17 08:54:29,New York,Known Device,731.0,0,1,No
TXN021093,CUST00344,44,Male,Student,12188.04,4202.7,286.19,Withdrawal,2025-05-16 16:37:40,Miami,Mobile App,592.0,1,1,No
TXN013826,CUST00119,65,Male,Salaried,54656.0,35160.15,52.11,Deposit,2025-09-20 10:59:52,Dallas,Known Device,700.0,0,2,No
TXN024544,CUST01518,35,Female,Salaried,43580.92,16699.3,108.2,Deposit,2025-12-17 10:33:15,New York,Mobile App,605.0,0,2,No
TXN014822,CUST00332,34,Female,Business Owner,146802.76,86595.02,96.15,Payment,2025-02-14 16:29:49,Dallas,Mobile App,731.0,0,3,No
TXN020546,CUST00138,41,Female,Unemployed,2750.24,224.16,153.72,Deposit,2025-11-07 13:10:40,Boston,Known Device,650.0,0,1,No
TXN026639,CUST01519,18,Male,Salaried,51949.97,33576.26,354.08,Withdrawal,2025-12-17 14:51:10,Chicago,Mobile App,647.0,0,3,No
TXN021430,CUST00275,60,Female,Retired,25359.02,14583.51,279.02,Payment,2025-01-13 09:19:28,Dallas,Known Device,737.0,0,3,No
TXN018155,CUST01773,66,Female,Student,8781.07,1068.62,140.47,Withdrawal,2025-06-19 12:51:44,Los Angeles,Mobile App,714.0,0,3,No
TXN021767,CUST00254,51,Male,Unemployed,3663.3,1548.5,111.37,Payment,2025-01-16 12:14:55,Seattle,Known Device,736.0,0,1,No
TXN017195,CUST00243,40,Male,Salaried,72742.68,65340.2,71.97,Transfer,2025-06-22 13:26:20,Boston,Known Device,803.0,0,3,No
TXN000902,CUST01678,31,Female,Salaried,72822.38,36487.0,8.88,Deposit,2025-08-17 12:30:57,San Antonio,Mobile App,653.0,0,2,No
TXN019446,CUST01198,18,Male,Salaried,45562.86,34815.92,11.09,Withdrawal,2025-01-10 16:43:50,Boston,Known Device,626.0,0,2,No
TXN025461,CUST01192,39,Male,Salaried,75216.61,20302.81,408.97,Deposit,2025-10-19 09:48:27,Los Angeles,Known Device,668.0,0,2,No
TXN007270,CUST00518,56,Male,Retired,31208.67,19763.62,268.26,Transfer,2025-10-25 15:26:35,Atlanta,Known Device,689.0,0,3,No
TXN009209,CUST00745,45,Male,Self-Employed,57612.08,23272.82,134.36,Deposit,2025-05-08 17:34:50,Los Angeles,Mobile App,616.0,0,3,No
TXN025957,CUST00587,45,Female,Salaried,55650.88,23464.76,102.92,Transfer,2025-02-08 15:59:30,San Antonio,Mobile App,577.0,0,1,No
TXN023435,CUST00336,47,Female,Salaried,54312.27,42795.22,362.62,Withdrawal,2025-03-28 09:20:26,New York,Known Device,658.0,0,1,No
TXN024512,CUST01682,36,Male,Student,8788.7,5161.45,105.32,Deposit,2025-12-06 06:35:02,Seattle,Mobile App,657.0,0,1,No
TXN003797,CUST00877,42,Male,Salaried,97987.5,54708.31,47.64,Payment,2025-04-01 13:10:12,New York,Mobile App,666.0,0,1,No
TXN012889,CUST01009,31,Male,Retired,42323.96,21661.13,53.08,Withdrawal,2025-05-18 12:07:52,Los Angeles,Known Device,578.0,0,2,No
TXN020064,CUST00210,25,Female,Self-Employed,83635.23,48199.23,258.92,Transfer,2025-08-06 16:36:30,New York,Known Device,689.0,0,2,No
TXN003240,CUST00172,18,Female,Salaried,59193.87,4960.59,88.22,Withdrawal,2025-03-07 06:56:53,Dallas,Mobile App,850.0,0,2,No
TXN027932,CUST00884,31,Male,Salaried,38904.91,12550.79,108.25,Payment,2025-12-02 09:23:41,Boston,Web Browser,718.0,0,2,No
TXN011309,CUST00505,29,Female,Salaried,76954.49,0.0,54.56,Withdrawal,2025-05-08 15:19:35,Austin,Mobile App,699.0,0,1,No
TXN021490,CUST01186,39,Male,Retired,14851.62,6772.84,93.29,Transfer,2025-04-25 15:03:40,Miami,Known Device,636.0,0,2,No
TXN010494,CUST01254,46,Male,Retired,32408.97,22283.41,22.74,Transfer,2025-10-18 06:44:44,Philadelphia,Known Device,720.0,0,3,No
TXN015484,CUST01423,25,Female,Salaried,79054.68,32106.55,108.54,Deposit,2025-09-29 07:43:29,Dallas,Known Device,693.0,0,2,No
TXN015452,CUST01262,55,Female,Self-Employed,,27829.83,97.48,Deposit,2025-11-26 15:35:02,San Antonio,Known Device,641.0,0,2,No
TXN019565,CUST01370,45,Male,Retired,15557.65,18525.53,163.2,Transfer,2025-08-08 14:56:31,Miami,Known Device,711.0,0,1,No
TXN020643,CUST00682,43,Male,Salaried,48893.12,33346.44,208.05,Withdrawal,2025-04-06 11:49:57,Dallas,Known Device,589.0,0,3,No
TXN002467,CUST01646,42,Female,Retired,17928.14,2606.88,22.63,Transfer,2025-07-02 16:29:30,San Diego,Web Browser,640.0,0,1,No
TXN019094,CUST00485,33,Female,Retired,25156.57,12023.59,95.63,Deposit,2025-11-29 13:41:02,Miami,Known Device,558.0,0,2,No
TXN006888,CUST00455,32,Female,Self-Employed,84990.08,50074.43,88.66,Transfer,2025-10-02 11:13:04,New York,Known Device,770.0,0,2,No
TXN024282,CUST00909,32,Female,Retired,31904.96,7401.69,188.62,Transfer,2025-07-08 13:54:35,Boston,Web Browser,757.0,0,2,No
TXN022506,CUST00392,21,Female,Self-Employed,67687.75,15612.92,102.2,Withdrawal,2025-01-06 13:51:33,Atlanta,Web Browser,678.0,0,2,No
TXN022950,CUST00821,18,Male,Business Owner,78426.33,23985.52,251.78,Transfer,2025-01-11 10:36:17,Seattle,Known Device,486.0,0,1,No
TXN012326,CUST01478,20,Male,Business Owner,14421.82,3198.04,606.11,Deposit,2025-09-01 08:08:00,Seattle,Known Device,814.0,0,3,No
TXN022978,CUST00424,50,Female,Salaried,65105.74,7044.6,17.64,Withdrawal,2025-02-25 15:31:41,Denver,Known Device,850.0,0,2,No
TXN000475,CUST01304,46,Female,Student,10147.06,2562.06,30.39,Transfer,2025-11-24 07:06:35,Miami,Known Device,539.0,0,3,No
TXN004381,CUST00472,50,Female,Self-Employed,65197.03,14293.6,66.76,Withdrawal,2025-09-05 12:37:51,Phoenix,Mobile App,745.0,0,3,No
TXN006229,CUST01022,35,Male,Salaried,79540.14,22257.57,16.42,Deposit,2025-09-03 20:42:56,San Diego,Mobile App,612.0,0,3,No
TXN026671,CUST01953,18,Female,Self-Employed,,23539.2,233.45,Deposit,2025-08-21 15:30:16,Miami,Mobile App,762.0,0,1,No
TXN009144,CUST01164,67,Male,Retired,25999.7,6948.04,298.33,Withdrawal,2025-05-17 16:49:47,Miami,Known Device,494.0,0,3,No
TXN001312,CUST01858,55,Male,Self-Employed,75652.31,89103.18,561.09,Transfer,2025-02-14 16:03:37,Atlanta,Mobile App,760.0,0,2,No
TXN027835,CUST00214,40,Male,Salaried,51193.44,19699.3,107.88,Payment,2025-06-17 15:52:51,Denver,Mobile App,624.0,1,1,No
TXN008546,CUST01682,36,Male,Student,8788.7,4739.66,12.01,Transfer,2025-02-06 15:34:22,Seattle,Known Device,657.0,0,3,No
TXN001270,CUST00444,23,Male,Salaried,16687.72,6794.02,98.45,Withdrawal,2025-05-24 16:34:46,Austin,Mobile App,697.0,0,3,No
TXN027765,CUST01179,31,Female,Self-Employed,95625.21,42840.97,18.01,Transfer,2025-11-04 18:55:04,San Diego,Mobile App,500.0,0,2,No
TXN020029,CUST00923,27,Female,Salaried,45671.02,42588.31,233.45,Withdrawal,2025-08-05 16:31:48,Seattle,Mobile App,599.0,0,2,No
TXN023844,CUST01135,35,Female,Retired,4667.57,3908.17,131.41,Withdrawal,2025-08-23 19:06:20,New York,Known Device,850.0,0,3,No
TXN000146,CUST01358,76,Male,Student,9005.72,3098.52,6.47,Payment,2025-01-16 09:17:14,San Antonio,Known Device,526.0,0,2,No
TXN011599,CUST00299,37,Female,Business Owner,101625.46,71301.35,50.51,Transfer,2025-04-20 16:45:35,Boston,Known Device,566.0,0,1,No
